parmoeda,frequencia,datetime,timestamp,GEP,vela1,vela2,vela3,operacao,ultima_vela,vela_abertura
EURGBP,278.03,2023-08-01 23:50:49.448721,23:50:50,NEUTRO,0.0,2.0,4.0,CALL,0.8601,0.860105
EURUSD,276.65,2023-08-01 23:51:49.685093,23:51:50,NEUTRO,2.0,0.0,0.0,CALL,1.09816,1.098425
EURJPY,324.14,2023-08-01 23:51:49.685093,23:51:50,ALTA,2.0,0.0,0.0,PUT,157.3275,157.376
EURGBP,278.03,2023-08-01 23:51:49.685093,23:51:50,NEUTRO,5.0,0.0,0.0,CALL,0.859845,0.86011
EURUSD,276.65,2023-08-01 23:52:49.982617,23:52:50,NEUTRO,0.0,1.0,4.0,PUT,1.09813,1.098145
EURJPY,324.14,2023-08-01 23:53:49.911670,23:53:50,NEUTRO,5.0,0.0,1.0,PUT,157.365,157.3345
EURGBP,278.03,2023-08-01 23:53:49.911670,23:53:50,NEUTRO,0.0,4.0,5.0,CALL,0.859915,0.859955
EURUSD,124.67,2023-08-02 00:04:49.559222,00:04:50,ALTA,1.0,0.0,1.0,PUT,1.09849,1.09832
EURJPY,123.45,2023-08-02 00:04:49.559222,00:04:50,ALTA,5.0,1.0,0.0,PUT,157.382,157.3915
EURUSD,124.67,2023-08-02 00:05:49.949268,00:05:50,NEUTRO,5.0,5.0,5.0,CALL,1.098385,1.09846
EURJPY,123.45,2023-08-02 00:05:49.949268,00:05:50,NEUTRO,1.0,0.0,4.0,CALL,157.379,157.379
EURUSD,124.67,2023-08-02 00:06:50.292005,00:06:50,NEUTRO,0.0,5.0,2.0,CALL,1.098325,1.098385
EURUSD,124.67,2023-08-02 00:07:49.527582,00:07:50,NEUTRO,0.0,0.0,1.0,PUT,1.09836,1.09831
EURJPY,123.45,2023-08-02 00:07:49.527582,00:07:50,ALTA,0.0,2.0,5.0,CALL,157.3785,157.3795
EURGBP,123.99,2023-08-02 00:07:49.527582,00:07:50,NEUTRO,5.0,0.0,4.0,PUT,0.8601,0.859995
EURUSD,124.67,2023-08-02 00:07:50.531006,00:07:50,NEUTRO,0.0,1.0,5.0,CALL,1.09833,1.09831
EURJPY,123.45,2023-08-02 00:07:50.531006,00:07:50,ALTA,2.0,5.0,0.0,PUT,157.3825,157.3805
EURUSD,124.67,2023-08-02 00:08:49.917042,00:08:50,NEUTRO,0.0,4.0,0.0,PUT,1.09837,1.098365
EURJPY,123.45,2023-08-02 00:08:49.917042,00:08:50,NEUTRO,0.0,2.0,4.0,CALL,157.3985,157.3725
EURGBP,123.99,2023-08-02 00:08:49.917042,00:08:50,NEUTRO,4.0,2.0,5.0,CALL,0.860125,0.86011
EURUSD,124.67,2023-08-02 00:09:50.165552,00:09:50,ALTA,5.0,0.0,1.0,CALL,1.09835,1.09838
EURJPY,123.45,2023-08-02 00:09:50.165552,00:09:50,NEUTRO,1.0,0.0,1.0,CALL,157.37,157.398
EURUSD,124.67,2023-08-02 00:10:49.513048,00:10:50,NEUTRO,0.0,0.0,0.0,CALL,1.09823,1.098355
